CustomerID,Country
17850,United Kingdom
13047,United Kingdom
12583,France
13748,United Kingdom
15100,United Kingdom
15291,United Kingdom
14688,United Kingdom
17809,United Kingdom
15311,United Kingdom
16098,United Kingdom
18074,United Kingdom
17420,United Kingdom
16029,United Kingdom
16250,United Kingdom
12431,Australia
17511,United Kingdom
13705,United Kingdom
13747,United Kingdom
13408,United Kingdom
13767,United Kingdom
17924,United Kingdom
13448,United Kingdom
15862,United Kingdom
15513,United Kingdom
12791,Netherlands
16218,United Kingdom
14045,United Kingdom
14307,United Kingdom
17908,United Kingdom
17920,United Kingdom
12838,United Kingdom
13255,United Kingdom
16583,United Kingdom
18085,United Kingdom
13758,United Kingdom
13694,United Kingdom
15983,United Kingdom
14849,United Kingdom
17968,United Kingdom
16210,United Kingdom
17897,United Kingdom
17377,United Kingdom
16552,United Kingdom
17181,United Kingdom
17951,United Kingdom
14729,United Kingdom
12748,United Kingdom
15012,United Kingdom
12868,United Kingdom
17572,United Kingdom
14078,United Kingdom
14001,United Kingdom
12662,Germany
15525,United Kingdom
14237,United Kingdom
17905,United Kingdom
15485,United Kingdom
12433,Norway
16955,United Kingdom
15350,United Kingdom
15605,United Kingdom
18144,United Kingdom
15922,United Kingdom
14594,United Kingdom
15165,United Kingdom
14911,EIRE
16456,United Kingdom
12652,United Kingdom
14158,United Kingdom
14860,United Kingdom
14321,United Kingdom
15189,United Kingdom
14036,United Kingdom
13467,United Kingdom
17266,United Kingdom
14196,United Kingdom
12471,United Kingdom
15921,United Kingdom
17913,United Kingdom
14947,United Kingdom
16667,United Kingdom
12362,United Kingdom
17343,United Kingdom
13340,United Kingdom
18022,United Kingdom
12398,United Kingdom
17999,United Kingdom
16482,United Kingdom
17702,United Kingdom
14101,United Kingdom
15917,United Kingdom
14624,United Kingdom
13949,United Kingdom
13015,United Kingdom
17700,United Kingdom
17608,United Kingdom
15238,United Kingdom
12832,United Kingdom
14177,United Kingdom
17048,United Kingdom
12626,United Kingdom
13278,United Kingdom
15203,United Kingdom
17869,United Kingdom
17373,United Kingdom
16813,United Kingdom
15290,United Kingdom
16801,United Kingdom
14592,United Kingdom
15033,United Kingdom
13512,United Kingdom
16059,United Kingdom
17356,United Kingdom
13069,United Kingdom
14476,United Kingdom
16306,United Kingdom
17464,United Kingdom
18211,United Kingdom
16810,United Kingdom
14234,United Kingdom
14766,United Kingdom
17849,United Kingdom
13131,United Kingdom
16674,United Kingdom
18065,United Kingdom
18261,United Kingdom
15579,United Kingdom
16929,United Kingdom
16062,United Kingdom
15042,United Kingdom
16278,United Kingdom
14290,United Kingdom
12665,United Kingdom
17935,United Kingdom
13867,United Kingdom
15703,United Kingdom
16954,United Kingdom
15014,United Kingdom
15119,United Kingdom
13930,United Kingdom
15805,United Kingdom
14284,United Kingdom
14972,United Kingdom
14643,United Kingdom
14915,United Kingdom
14309,United Kingdom
13692,United Kingdom
16931,United Kingdom
14710,United Kingdom
12627,United Kingdom
12752,United Kingdom
17041,United Kingdom
17365,United Kingdom
16049,United Kingdom
16230,United Kingdom
15986,United Kingdom
16907,United Kingdom
13404,United Kingdom
15363,United Kingdom
12360,United Kingdom
15863,United Kingdom
14272,United Kingdom
14680,United Kingdom
17333,United Kingdom
16679,United Kingdom
14862,United Kingdom
13956,United Kingdom
14312,United Kingdom
17387,United Kingdom
13455,United Kingdom
17354,United Kingdom
16940,United Kingdom
14583,United Kingdom
15472,United Kingdom
15301,United Kingdom
12937,United Kingdom
17879,United Kingdom
14463,United Kingdom
15757,United Kingdom
18108,United Kingdom
17507,United Kingdom
13291,United Kingdom
17444,United Kingdom
15128,United Kingdom
17193,United Kingdom
16872,United Kingdom
16763,United Kingdom
14748,United Kingdom
13417,United Kingdom
12837,United Kingdom
14456,United Kingdom
13466,United Kingdom
13166,United Kingdom
12952,United Kingdom
17960,United Kingdom
17838,United Kingdom
18233,United Kingdom
12598,United Kingdom
13618,United Kingdom
13645,United Kingdom
18150,United Kingdom
12967,United Kingdom
15113,United Kingdom
16110,United Kingdom
15747,United Kingdom
15562,United Kingdom
14752,United Kingdom
15797,United Kingdom
16206,United Kingdom
15752,United Kingdom
16027,United Kingdom
17353,United Kingdom
13356,United Kingdom
13091,United Kingdom
14716,United Kingdom
17175,United Kingdom
15661,United Kingdom
17830,United Kingdom
17153,United Kingdom
17829,United Kingdom
12446,United Kingdom
12569,United Kingdom
16685,United Kingdom
17561,United Kingdom
14570,United Kingdom
15950,United Kingdom
16745,United Kingdom
15937,United Kingdom
14918,United Kingdom
17059,United Kingdom
15257,United Kingdom
18248,United Kingdom
16897,United Kingdom
14712,United Kingdom
12488,United Kingdom
15895,United Kingdom
14713,United Kingdom
16460,United Kingdom
17230,United Kingdom
16873,United Kingdom
13471,United Kingdom
15841,United Kingdom
12435,United Kingdom
15643,United Kingdom
16698,United Kingdom
15106,United Kingdom
13519,United Kingdom
15473,United Kingdom
15717,United Kingdom
17480,United Kingdom
15114,United Kingdom
14693,United Kingdom
15152,United Kingdom
13854,United Kingdom
12847,United Kingdom
14390,United Kingdom
16565,United Kingdom
12432,United Kingdom
17881,United Kingdom
14047,United Kingdom
13305,United Kingdom
13924,United Kingdom
13068,United Kingdom
16788,United Kingdom
16517,United Kingdom
14415,United Kingdom
17763,United Kingdom
16796,United Kingdom
15249,United Kingdom
15940,United Kingdom
12779,United Kingdom
15507,United Kingdom
13897,United Kingdom
17368,United Kingdom
14483,United Kingdom
17630,United Kingdom
15437,United Kingdom
15149,United Kingdom
14870,United Kingdom
13385,United Kingdom
14692,United Kingdom
14502,United Kingdom
12409,United Kingdom
14520,United Kingdom
