Transaction_ID,InvoiceDate,epochtime
536365,12/1/10 8:26,1291191960
536366,12/1/10 8:28,1291192080
536367,12/1/10 8:34,1291192440
536368,12/1/10 8:34,1291192440
536369,12/1/10 8:35,1291192500
536370,12/1/10 8:45,1291193100
536371,12/1/10 9:00,1291194000
536372,12/1/10 9:01,1291194060
536373,12/1/10 9:02,1291194120
536374,12/1/10 9:09,1291194540
536375,12/1/10 9:32,1291195920
536376,12/1/10 9:32,1291195920
536377,12/1/10 9:34,1291196040
536378,12/1/10 9:37,1291196220
536380,12/1/10 9:41,1291196460
536381,12/1/10 9:41,1291196460
536382,12/1/10 9:45,1291196700
536384,12/1/10 9:53,1291197180
536385,12/1/10 9:56,1291197360
536386,12/1/10 9:57,1291197420
536387,12/1/10 9:58,1291197480
536388,12/1/10 9:59,1291197540
536389,12/1/10 10:03,1291197780
536390,12/1/10 10:19,1291198740
536392,12/1/10 10:29,1291199340
536393,12/1/10 10:37,1291199820
536394,12/1/10 10:39,1291199940
536395,12/1/10 10:47,1291200420
536396,12/1/10 10:51,1291200660
536397,12/1/10 10:51,1291200660
536398,12/1/10 10:52,1291200720
536399,12/1/10 10:52,1291200720
536400,12/1/10 10:53,1291200780
536401,12/1/10 11:21,1291202460
536402,12/1/10 11:22,1291202520
536403,12/1/10 11:27,1291202820
536404,12/1/10 11:29,1291202940
536405,12/1/10 11:32,1291203120
536406,12/1/10 11:33,1291203180
536407,12/1/10 11:34,1291203240
536408,12/1/10 11:41,1291203660
536409,12/1/10 11:45,1291203900
536412,12/1/10 11:49,1291204140
536415,12/1/10 11:57,1291204620
536416,12/1/10 11:58,1291204680
536420,12/1/10 12:03,1291204980
536423,12/1/10 12:08,1291205280
536425,12/1/10 12:08,1291205280
536437,12/1/10 12:12,1291205520
536446,12/1/10 12:15,1291205700
536460,12/1/10 12:22,1291206120
536463,12/1/10 12:22,1291206120
536464,12/1/10 12:23,1291206180
536466,12/1/10 12:23,1291206180
536477,12/1/10 12:27,1291206420
536488,12/1/10 12:31,1291206660
536500,12/1/10 12:35,1291206900
536502,12/1/10 12:36,1291206960
536508,12/1/10 12:38,1291207080
536514,12/1/10 12:40,1291207200
536520,12/1/10 12:43,1291207380
536521,12/1/10 12:48,1291207680
536522,12/1/10 12:49,1291207740
536523,12/1/10 12:50,1291207800
536524,12/1/10 12:51,1291207860
536525,12/1/10 12:54,1291208040
536526,12/1/10 12:58,1291208280
536527,12/1/10 13:04,1291208640
536528,12/1/10 13:17,1291209420
536529,12/1/10 13:20,1291209600
536530,12/1/10 13:21,1291209660
536531,12/1/10 13:23,1291209780
536532,12/1/10 13:24,1291209840
536533,12/1/10 13:31,1291210260
536534,12/1/10 13:33,1291210380
536535,12/1/10 13:38,1291210680
536536,12/1/10 13:45,1291211100
536537,12/1/10 13:51,1291211460
536538,12/1/10 13:54,1291211640
536539,12/1/10 14:03,1291212180
536540,12/1/10 14:05,1291212300
536541,12/1/10 14:05,1291212300
536542,12/1/10 14:11,1291212660
536544,12/1/10 14:32,1291213920
536551,12/1/10 14:34,1291214040
536555,12/1/10 14:37,1291214220
536556,12/1/10 14:38,1291214280
536557,12/1/10 14:41,1291214460
536558,12/1/10 14:48,1291214880
536559,12/1/10 14:54,1291215240
536560,12/1/10 15:00,1291215600
536561,12/1/10 15:06,1291215960
536562,12/1/10 15:08,1291216080
536563,12/1/10 15:08,1291216080
536564,12/1/10 15:08,1291216080
536565,12/1/10 15:15,1291216500
536566,12/1/10 15:21,1291216860
536567,12/1/10 15:27,1291217220
536568,12/1/10 15:28,1291217280
536569,12/1/10 15:35,1291217700
536570,12/1/10 15:35,1291217700
536571,12/1/10 15:37,1291217820
536572,12/1/10 15:40,1291218000
